category,period,amount,actual_roi
Marketing,2024-01,200000.0,1.4
Engineering,2024-01,381486.57,1.68
Sales,2024-01,218844.19,1.29
Operations,2024-01,163862.13,1.06
HR,2024-01,121258.73,0.99
Legal,2024-01,87123.38,0.96
R&D,2024-01,246077.65,1.54
Infrastructure,2024-01,136781.1,1.23
Customer Support,2024-01,91875.23,1.34
Administration,2024-01,65214.55,1.0
Marketing,2024-02,214112.41,1.42
Engineering,2024-02,373377.09,1.69
Sales,2024-02,206335.31,1.27
Operations,2024-02,170853.48,1.04
HR,2024-02,129291.61,0.98
Legal,2024-02,84691.4,0.97
R&D,2024-02,232873.9,1.56
Infrastructure,2024-02,143656.27,1.24
Customer Support,2024-02,97499.21,1.33
Administration,2024-02,62986.55,0.98
Marketing,2024-03,220392.32,1.43
Engineering,2024-03,352361.21,1.69
Sales,2024-03,202915.94,1.26
Operations,2024-03,184048.1,1.02
HR,2024-03,132125.07,0.98
Legal,2024-03,79704.85,0.99
R&D,2024-03,230968.5,1.58
Infrastructure,2024-03,154925.38,1.24
Customer Support,2024-03,98901.83,1.32
Administration,2024-03,59165.32,0.96
Marketing,2024-04,215758.34,1.44
Engineering,2024-04,332460.72,1.67
Sales,2024-04,211460.92,1.24
Operations,2024-04,196097.42,1.01
HR,2024-04,128477.11,0.99
Legal,2024-04,75479.65,1.01
R&D,2024-04,242427.11,1.59
Infrastructure,2024-04,164298.68,1.23
Customer Support,2024-04,95559.83,1.3
Administration,2024-04,56287.14,0.94
Marketing,2024-05,203749.27,1.44
Engineering,2024-05,327020.81,1.66
Sales,2024-05,227587.67,1.22
Operations,2024-05,200347.6,1.01
HR,2024-05,120997.27,1.01
Legal,2024-05,74869.92,1.03
R&D,2024-05,261208.97,1.59
Infrastructure,2024-05,166636.38,1.22
Customer Support,2024-05,89827.98,1.28
Administration,2024-05,56316.24,0.94
Marketing,2024-06,192377.56,1.42
Engineering,2024-06,340615.1,1.64
Sales,2024-06,242314.62,1.21
Operations,2024-06,194875.66,1.02
HR,2024-06,114659.47,1.03
Legal,2024-06,78536.67,1.04
R&D,2024-06,276831.14,1.58
Infrastructure,2024-06,161066.38,1.2
Customer Support,2024-06,85510.71,1.26
Administration,2024-06,59453.35,0.94
Marketing,2024-07,189269.04,1.41
Engineering,2024-07,366271.3,1.62
Sales,2024-07,247509.29,1.21
Operations,2024-07,183655.91,1.04
HR,2024-07,113744.88,1.05
Legal,2024-07,84546.87,1.04
R&D,2024-07,280727.3,1.57
Infrastructure,2024-07,151513.31,1.18
Customer Support,2024-07,85554.36,1.26
Administration,2024-07,64013.9,0.96
Marketing,2024-08,197037.2,1.39
Engineering,2024-08,389700.54,1.61
Sales,2024-08,240821.36,1.22
Operations,2024-08,174149.21,1.06
HR,2024-08,119245.01,1.06
Legal,2024-08,89545.97,1.03
R&D,2024-08,271443.97,1.55
Infrastructure,2024-08,144317.85,1.16
Customer Support,2024-08,90260.02,1.26
Administration,2024-08,67449.9,0.98
Marketing,2024-09,211697.89,1.37
Engineering,2024-09,397964.78,1.61
Sales,2024-09,227108.33,1.24
Operations,2024-09,172777.32,1.08
HR,2024-09,128260.31,1.06
Legal,2024-09,90792.74,1.02
R&D,2024-09,255522.18,1.53
Infrastructure,2024-09,144390.6,1.16
Customer Support,2024-09,97100.85,1.28
Administration,2024-09,67895.49,1.0
Marketing,2024-10,225086.02,1.36
Engineering,2024-10,387324.89,1.62
Sales,2024-10,215489.04,1.26
Operations,2024-10,181027.52,1.09
HR,2024-10,135758.95,1.05
Legal,2024-10,87822.07,1.0
R&D,2024-10,243529.74,1.51
Infrastructure,2024-10,152233.36,1.16
Customer Support,2024-10,102254.86,1.3
Administration,2024-10,65298.75,1.01
Marketing,2024-11,229808.45,1.36
Engineering,2024-11,365508.71,1.64
Sales,2024-11,213812.28,1.28
Operations,2024-11,194550.46,1.09
HR,2024-11,137629.1,1.04
Legal,2024-11,82727.1,0.98
R&D,2024-11,243651.0,1.51
Infrastructure,2024-11,163634.75,1.18
Customer Support,2024-11,102923.24,1.32
Administration,2024-11,61453.2,1.02
Marketing,2024-12,223728.51,1.37
Engineering,2024-12,347023.47,1.66
Sales,2024-12,223895.86,1.29
Operations,2024-12,205798.42,1.08
HR,2024-12,133173.11,1.02
Legal,2024-12,78889.52,0.96
R&D,2024-12,256722.27,1.51
Infrastructure,2024-12,172224.76,1.2
Customer Support,2024-12,99028.13,1.33
Administration,2024-12,58909.87,1.02
Marketing,2025-01,211262.12,1.39
Engineering,2025-01,344355.9,1.68
Sales,2025-01,240423.89,1.29
Operations,2025-01,208603.66,1.07
HR,2025-01,125530.64,1.0
Legal,2025-01,78928.32,0.96
R&D,2025-01,275724.59,1.53
Infrastructure,2025-01,173338.74,1.22
Customer Support,2025-01,93259.8,1.34
Administration,2025-01,59429.88,1.01
Marketing,2025-02,200699.12,1.41
Engineering,2025-02,360397.95,1.69
Sales,2025-02,254171.4,1.28
Operations,2025-02,201919.66,1.05
HR,2025-02,119774.28,0.98
Legal,2025-02,83111.13,0.96
