category,period,amount,actual_roi,month,quarter,month_sin,month_cos,amount_lag_1,amount_lag_2,amount_lag_3,rolling_3m_avg,rolling_6m_avg,roi_lag_1,mom_growth,spend_ratio,category_encoded
Administration,2024-04,56287.14,0.94,4,2,0.8660254037844387,-0.4999999999999998,59165.32,62986.55,65214.55,62455.473333333335,62455.473333333335,0.96,-6.066739645209974,0.03448850256948884,0
Administration,2024-05,56316.24,0.94,5,2,0.49999999999999994,-0.8660254037844387,56287.14,59165.32,62986.55,59479.670000000006,60913.39,0.94,-4.864640299418647,0.03275732603113767,0
Administration,2024-06,59453.35,0.94,6,2,1.2246467991473532e-16,-1.0,56316.24,56287.14,59165.32,57256.23333333334,59993.96,0.94,0.051699198076147666,0.03257981861004693,0
Administration,2024-07,64013.9,0.96,7,3,-0.4999999999999997,-0.8660254037844388,59453.35,56316.24,56287.14,57352.243333333325,59903.85833333334,0.94,5.570524594681749,0.03404648131374973,0
Administration,2024-08,67449.9,0.98,8,3,-0.8660254037844384,-0.5000000000000004,64013.9,59453.35,56316.24,59927.829999999994,59703.75,0.96,7.670804084210567,0.03623142224045676,0
Administration,2024-09,67895.49,1.0,9,3,-1.0,-1.8369701987210297e-16,67449.9,64013.9,59453.35,63639.049999999996,60447.64166666666,0.98,5.3675842278005135,0.03780885388032338,0
Administration,2024-10,65298.75,1.01,10,4,-0.8660254037844386,0.5000000000000001,67895.49,67449.9,64013.9,66453.09666666666,61902.670000000006,1.0,0.6606236628964774,0.03785619898994848,0
Administration,2024-11,61453.2,1.02,11,4,-0.5000000000000004,0.8660254037844384,65298.75,67895.49,67449.9,66881.38,63404.605,1.01,-3.824613387428245,0.03636141758117661,0
Administration,2024-12,58909.87,1.02,12,4,-2.4492935982947064e-16,1.0,61453.2,65298.75,67895.49,64882.48,64260.76500000001,1.02,-5.8891632688221485,0.03422245281527778,0
Administration,2025-01,59429.88,1.01,1,1,0.49999999999999994,0.8660254037844387,58909.87,61453.2,65298.75,61887.27333333334,64170.185,1.02,-4.138645343122889,0.032738729049390146,0
Administration,2025-02,62916.17,0.99,2,1,0.8660254037844386,0.5000000000000001,59429.88,58909.87,61453.2,59930.98333333334,63406.18166666667,1.01,0.8827213504290449,0.032818639063125855,0
Administration,2025-03,67472.38,0.97,3,1,1.0,6.123233995736766e-17,62916.17,59429.88,58909.87,60418.63999999999,62650.56,0.99,5.866224195640309,0.03439315074137878,0
Administration,2025-04,70553.14,0.95,4,2,0.8660254037844387,-0.4999999999999998,67472.38,62916.17,59429.88,63272.81,62580.041666666664,0.97,7.241715444535175,0.036475977448056016,0
Administration,2025-05,70508.07,0.94,5,2,0.49999999999999994,-0.8660254037844387,70553.14,67472.38,62916.17,66980.56333333334,63455.77333333334,0.95,4.565957210935785,0.03780987916650478,0
Administration,2025-06,67582.89,0.94,6,2,1.2246467991473532e-16,-1.0,70508.07,70553.14,67472.38,69511.19666666667,64964.918333333335,0.94,-0.06388092719897716,0.037617643918729606,0
